 Gfun         0  0 64   0.00   
   0.00000  0.50000000E+00 +-  0.00000000E+00
   0.02500  0.47406050E+00 +-  0.17368745E-04
   0.05000  0.45034379E+00 +-  0.25282291E-04
   0.07500  0.42859858E+00 +-  0.32470336E-04
   0.10000  0.40875893E+00 +-  0.42676465E-04
   0.12500  0.39055931E+00 +-  0.50500821E-04
   0.15000  0.37382201E+00 +-  0.58156638E-04
   0.17500  0.35841850E+00 +-  0.65334232E-04
   0.20000  0.34422277E+00 +-  0.70256560E-04
   0.22500  0.33120082E+00 +-  0.78089678E-04
   0.25000  0.31916999E+00 +-  0.84117995E-04
   0.27500  0.30805403E+00 +-  0.88476927E-04
   0.30000  0.29777160E+00 +-  0.94469393E-04
   0.32500  0.28828296E+00 +-  0.98211188E-04
   0.35000  0.27955685E+00 +-  0.10302540E-03
   0.37500  0.27148818E+00 +-  0.10681599E-03
   0.40000  0.26397645E+00 +-  0.11219027E-03
   0.42500  0.25701030E+00 +-  0.11696830E-03
   0.45000  0.25059983E+00 +-  0.11911038E-03
   0.47500  0.24468942E+00 +-  0.12314008E-03
   0.50000  0.23923878E+00 +-  0.12555056E-03
   0.52500  0.23418609E+00 +-  0.12911230E-03
   0.55000  0.22949834E+00 +-  0.13172010E-03
   0.57500  0.22522052E+00 +-  0.13247948E-03
   0.60000  0.22131145E+00 +-  0.13345632E-03
   0.62500  0.21771077E+00 +-  0.13408357E-03
   0.65000  0.21439130E+00 +-  0.13752650E-03
   0.67500  0.21134801E+00 +-  0.13971127E-03
   0.70000  0.20861902E+00 +-  0.14102537E-03
   0.72500  0.20616525E+00 +-  0.14248221E-03
   0.75000  0.20395087E+00 +-  0.14337127E-03
   0.77500  0.20197582E+00 +-  0.14571216E-03
   0.80000  0.20020923E+00 +-  0.14646785E-03
   0.82500  0.19868476E+00 +-  0.14825031E-03
   0.85000  0.19738636E+00 +-  0.14972048E-03
   0.87500  0.19629641E+00 +-  0.15052759E-03
   0.90000  0.19540850E+00 +-  0.15280712E-03
   0.92500  0.19470849E+00 +-  0.15436451E-03
   0.95000  0.19421558E+00 +-  0.15650839E-03
   0.97500  0.19392449E+00 +-  0.15785003E-03
   1.00000  0.19382038E+00 +-  0.15804511E-03
   1.02500  0.19392449E+00 +-  0.15785003E-03
   1.05000  0.19421558E+00 +-  0.15650839E-03
   1.07500  0.19470849E+00 +-  0.15436451E-03
   1.10000  0.19540850E+00 +-  0.15280712E-03
   1.12500  0.19629641E+00 +-  0.15052759E-03
   1.15000  0.19738636E+00 +-  0.14972048E-03
   1.17500  0.19868476E+00 +-  0.14825031E-03
