Depth(Er),Attenuation(Efield),BeamAngle(deg),as(abohr),zConf(Hz),tTB(Er),tx(Er),ty(Er),tdiag(Er),u(Er),MeanSplittingGndTo1,MeanSplittingGndTo2,MeanSplittingGndTo3,MeanSplittingGndTo4,MeanSplittingGndTo5,MeanSplittingGndTo6,MeanSplittingGndTo7,MeanSplittingGndTo8,GndTopToBandBtm1,GndTopToBandBtm2,GndTopToBandBtm3,GndTopToBandBtm4,GndTopToBandBtm5,GndTopToBandBtm6,GndTopToBandBtm7,GndTopToBandBtm8,GndBtmToBandTop1,GndBtmToBandTop2,GndBtmToBandTop3,GndBtmToBandTop4,GndBtmToBandTop5,GndBtmToBandTop6,GndBtmToBandTop7,GndBtmToBandTop8,BandWidth1,BandWidth2,BandWidth3,BandWidth4,BandWidth5,BandWidth6,BandWidth7,BandWidth8a
1,0.7,91.627,-888,21000,0.21201,0.21817,0.20585,0.0060056,-0.13542,1.296,2.6508,3.503,5.6115,6.2838,7.4515,8.8733,-0.58834,0.38646,0.51283,2.4884,3.3654,4.6343,6.3273,3.8512,4.9765,5.4048,9.654,9.6562,10.05,11.217,1.6961,2.7434,2.894,3.1959,5.4695,4.5948,3.7193,3.194
1,0.8,91.627,-888,21000,0.21209,0.21875,0.20543,0.0060879,-0.13529,1.2954,2.6507,3.5024,5.6114,6.2832,7.4511,8.8729,-0.58735,0.3818,0.50971,2.4884,3.3615,4.6334,6.3263,3.8502,4.9748,5.4048,9.6569,9.6593,10.049,11.217,1.6967,2.7409,2.8963,3.1984,5.4718,4.601,3.7185,3.1941
1,0.9,91.627,-888,21000,0.21213,0.21904,0.20521,0.0061295,-0.13523,1.2951,2.6506,3.5021,5.6114,6.2829,7.4509,8.8727,-0.58685,0.37945,0.50814,2.4884,3.3596,4.6329,6.326,3.8497,4.9739,5.4049,9.6584,9.6608,10.048,11.217,1.697,2.7396,2.8974,3.1997,5.4729,4.6042,3.7181,3.194
1,1,91.627,-888,21000,0.21214,0.21913,0.20515,0.0061415,-0.13521,1.2951,2.6506,3.502,5.6114,6.2828,7.4509,8.8727,-0.5867,0.37877,0.50768,2.4884,3.359,4.6328,6.3259,3.8496,4.9737,5.4049,9.6588,9.6612,10.048,11.217,1.6971,2.7392,2.8978,3.2001,5.4733,4.6051,3.718,3.1939
2,0.025,91.627,-888,21000,0.17868,0.12648,0.23088,0.0010998,-0.17407,1.5417,2.8824,3.9022,5.7907,6.671,7.7642,9.1664,-0.41267,0.86821,1.4285,3.081,4.0768,5.0563,6.9012,3.8915,5.2287,5.6472,9.2563,9.7488,10.435,11.454,1.4294,2.8747,2.9311,2.7892,4.7459,4.2425,3.9494,3.1232
2,0.1,91.627,-888,21000,0.17585,0.14398,0.20772,0.0036305,-0.18281,1.5025,2.8061,3.7969,5.7364,6.5642,7.6727,9.0855,-0.2961,0.80968,1.2994,2.9831,4.021,5.0919,6.8211,3.8832,5.0955,5.5448,9.3485,9.84,10.269,11.368,1.4068,2.7725,2.879,2.8386,4.9587,4.4123,3.7706,3.1397
2,0.2,91.627,-888,21000,0.17531,0.1589,0.19171,0.0057725,-0.18584,1.4767,2.769,3.732,5.7095,6.5011,7.6231,9.0405,-0.22152,0.79512,1.1951,2.9391,3.9942,5.0836,6.7702,3.8659,5.006,5.4873,9.4328,9.7838,10.137,11.318,1.4025,2.685,2.8084,2.8897,5.0912,4.3872,3.6512,3.1458
2,0.3,91.627,-888,21000,0.17565,0.16822,0.18309,0.0070909,-0.18606,1.4619,2.7556,3.7013,5.699,6.4721,7.6012,9.021,-0.18483,0.77302,1.1323,2.9278,3.9424,5.0487,6.7331,3.8478,4.959,5.463,9.4863,9.7029,10.062,11.297,1.4052,2.6273,2.7808,2.9255,5.1533,4.3553,3.608,3.1586
2,0.4,91.627,-888,21000,0.17612,0.17422,0.17801,0.0079306,-0.18563,1.4525,2.7502,3.685,5.6943,6.4572,7.5904,9.0111,-0.16477,0.78165,1.0926,2.9254,3.8931,5.0299,6.7097,3.8338,4.9319,5.4516,9.5204,9.6543,10.016,11.286,1.4089,2.5897,2.7413,2.95,5.1861,4.3523,3.5774,3.1675
2,0.5,91.627,-888,21000,0.17651,0.17814,0.17488,0.0084745,-0.18511,1.4465,2.7477,3.6757,5.6921,6.4489,7.5846,9.0057,-0.15309,0.74879,1.0671,2.9255,3.8614,5.0192,6.6956,3.8241,4.9153,5.4457,9.5424,9.624,9.9946,11.28,1.4121,2.5652,2.7545,2.9665,5.2048,4.3504,3.5633,3.1726
