# Depth (Er)	r	theta (deg)	alpha (deg)	tx wannier (Er)	ty wannier (Er)	td wannier (Er)	wannier integral (Er)	tx bs (Er)	ty bs (Er)	td bs(Er)	mean 0->d1	gap 0->d1	bw d1	mean 0->d2	gap 0->d2	bw d2	mean 0->d3	gap 0->d3	bw d3
2.000000000000000000e+01	1.000000000000000000e+00	9.162669999999999959e+01	0.000000000000000000e+00	1.222855471048151345e-03	7.405331844803944921e-03	3.829554197127231626e-05	5.845669735300732306e+00	4.780938654593851547e-03	3.806922336606156053e-03	3.806205563450996802e-05	1.156248816469315521e+01	1.077509167374169863e+01	1.280731018281800804e+00	1.260729253028363495e+01	1.223601027627202420e+01	1.203946137300508257e+00	1.349316206374142624e+01	1.283554561338802635e+01	1.789113759383593738e+00
2.500000000000000000e+01	1.000000000000000000e+00	9.162669999999999959e+01	0.000000000000000000e+00	5.950217860460562010e-05	3.608359150070068570e-03	9.139880216293639812e-06	6.697347454210008877e+00	2.042120837585390501e-03	1.577227395924154412e-03	8.808850681564592972e-06	1.400322392054587439e+01	1.333107542962161318e+01	1.242692449181154624e+00	1.489026207251228229e+01	1.457054110628177135e+01	5.865046813565724104e-01	1.560885065341732769e+01	1.514056360837678206e+01	1.239874478678012260e+00
3.000000000000000000e+01	1.000000000000000000e+00	9.162669999999999959e+01	0.000000000000000000e+00	1.834432894014835296e-04	1.848721993554190094e-03	2.420879413130441536e-06	7.462103306950082171e+00	9.284299911475099153e-04	6.976479825800689823e-04	2.241203786883467011e-06	1.618381935057641385e+01	1.567252059970115141e+01	1.036323504910269921e+00	1.697993751618887259e+01	1.672627796318099769e+01	4.518700448278112347e-01	1.756397083732054298e+01	1.718576993032812084e+01	9.159107117512048646e-01
3.500000000000000000e+01	1.000000000000000000e+00	9.162669999999999959e+01	0.000000000000000000e+00	1.879964892060679963e-04	9.854550231264277375e-04	7.005585900927275968e-07	8.162478491070141118e+00	4.439676250396530372e-04	3.253199024999227969e-04	6.108506236809311402e-07	1.810762190154727946e+01	1.776667155949541765e+01	7.403795082809541128e-01	1.887788625121325126e+01	1.868733218533397888e+01	3.617794221926500242e-01	1.940596496010212491e+01	1.905461451407384743e+01	7.106862523291752609e-01
4.000000000000000000e+01	1.000000000000000000e+00	9.162669999999999959e+01	0.000000000000000000e+00	1.434344167536916246e-04	5.425725971841448628e-04	2.184989025101010469e-07	8.812590395913293406e+00	2.213752135077475067e-04	1.584567537215842391e-04	1.700178063528210576e-07	1.985567304049907023e+01	1.963971901851431312e+01	4.533648888106984742e-01	2.060107357561847508e+01	2.049759737245422642e+01	1.982454984413939414e-01	2.113589611429576820e+01	2.091252668893521616e+01	4.499725314335023540e-01
4.500000000000000000e+01	1.000000000000000000e+00	9.162669999999999959e+01	0.000000000000000000e+00	9.957298192762623307e-05	3.069585517509019904e-04	7.264433473075185972e-08	9.422003180010182888e+00	1.143529065166012243e-04	8.007594369373208058e-05	4.210903738329982438e-08	2.147085943854275314e+01	2.133660012844596210e+01	2.762751468572766100e-01	2.220199910959138379e+01	2.214495669664890087e+01	1.102987817393739078e-01	2.275025851858787362e+01	2.260957106570805664e+01	2.828579902095214038e-01
5.000000000000000000e+01	1.000000000000000000e+00	9.162669999999999959e+01	0.000000000000000000e+00	6.647787926150738728e-05	1.777548287114045589e-04	2.551898854355809662e-08	9.997565394985961973e+00	6.089039481751372629e-05	4.176345575948974529e-05	2.963813810385467550e-09	2.298092298800595046e+01	2.289793623221854091e+01	1.688089529166028058e-01	2.370496720549963854e+01	2.367289309982431789e+01	6.249333749616958755e-02	2.426760328803834099e+01	2.417904980013180705e+01	1.778271148278207647e-01
5.500000000000000000e+01	1.000000000000000000e+00	9.162669999999999959e+01	0.000000000000000000e+00	4.364096920986351182e-05	1.050479694876265438e-04	9.404580823440296009e-09	1.054438666411769887e+01	3.328992371052943815e-05	2.238549479639698019e-05	9.555767466803283261e-09	2.440549330067179312e+01	2.435411770907900930e+01	1.038176024197454694e-01	2.512693326500691171e+01	2.510853608079225907e+01	3.605374013953266399e-02	2.570332380471536737e+01	2.564736551009424304e+01	1.122776777034548701e-01
6.000000000000000000e+01	1.000000000000000000e+00	9.162669999999999959e+01	0.000000000000000000e+00	2.846910229794807472e-05	6.320525342369542887e-05	3.615005380018951954e-09	1.106640222332756451e+01	1.862469783620816083e-05	1.229775076557674922e-05	1.486354272322611136e-08	2.575857146301446576e+01	2.572659122263498688e+01	6.437884368222412945e-02	2.648027012581189155e+01	2.646951989421867069e+01	2.115809137694668607e-02	2.706959063897028273e+01	2.703400692952426709e+01	7.135328476165270217e-02
6.500000000000000000e+01	1.000000000000000000e+00	9.162669999999999959e+01	0.000000000000000000e+00	1.855717092202023577e-05	3.864452196137539849e-05	1.442431954632664056e-09	1.156672067975607021e+01	1.064264001855871021e-05	6.895634387986621441e-06	1.530215922008158758e-08	2.705050747224583318e+01	2.703045253520353342e+01	4.028319051929685202e-02	2.777437200218028224e+01	2.776798256195280601e+01	1.261474427913711338e-02	2.837592905580613589e+01	2.835313311893370525e+01	4.569003365870116795e-02
